PLAYER_ID,PLAYER_NAME,OVERALL_TOTAL_SCORE,OVERALL_ROUNDS_PLAYED,OVERALL_GAMES_PLAYED,OVERALL_ACCURACY,OVERALL_AVERAGE_GAME_SCORE,OVERALL_HIGHEST_HEDGE_STREAK,OVERALL_AVERAGE_HEDGE_STREAK,OVERALL_MEDIAN_GAME_SCORE,OVERALL_MEDIAN_ROUND_SCORE,NM_TOTAL_SCORE,NM_ROUNDS_PLAYED,NM_GAMES_PLAYED,NM_ACCURACY,NM_HIGHEST_HEDGE_STREAK,NM_AVERAGE_HEDGE_STREAK,NM_AVG_GAME_SCORE,NM_MEDIAN_GAME_SCORE,NMPZ_TOTAL_SCORE,NMPZ_ROUNDS_PLAYED,NMPZ_GAMES_PLAYED,NMPZ_ACCURACY,NMPZ_HIGHEST_HEDGE_STREAK,NMPZ_AVERAGE_HEDGE_STREAK,NMPZ_AVG_GAME_SCORE,NMPZ_MEDIAN_GAME_SCORE
5fa7ab03b45c670001342904,kent,3802481,1230,246,0.6182895934959349,15457,2,1.25,15675.5,3471.5,2958502,940,188,0.6294685106382979,2,1.21,15736.712765957447,15928.5,843979,290,58,0.5820544827586207,2,1.5,14551.362068965518,14636.5
5fba6bb84876100001068d07,Sadu,2971,5,1,0.11884,2971,0,0,2971,80,,,,,,,,,2971,5,1,0.11884,0,0,2971,2971
5fe6c5e7ae5ccd000197c9e7,logan,4433761,1210,242,0.7328530578512397,18321,6,1.61,18668.5,4163.5,3481126,940,188,0.7406651063829788,6,1.79,18516.627659574468,18734.5,952635,270,54,0.7056555555555556,1,1,17641.38888888889,18414
5ff0a98c0c42b3000156c799,Alexeycraggy,597143,210,42,0.568707619047619,14217,1,1,13814.5,3049,597143,210,42,0.568707619047619,1,1,14217.690476190477,13814.5,,,,,,,,
5ff10c165de5560001f37f9d,vaivod,51106,20,4,0.51106,12776,0,0,12424,2765,51106,20,4,0.51106,0,0,12776.5,12424,,,,,,,,
5ffa660ae8ee080001350d46,AlphaZero4000,315945,135,27,0.4680666666666667,11701,0,0,11971,2459,119394,50,10,0.477576,0,0,11939.4,12067.5,196551,85,17,0.4624729411764706,0,0,11561.823529411764,10483
5ffb5e4975d2770001545cf5,Geooo,1270113,415,83,0.6121026506024096,15302,1,1,15186,3404,817527,265,53,0.6170015094339623,1,1,15425.037735849057,15328,452586,150,30,0.603448,1,1,15086.2,15074
60069f898c6114000112b409,icepelican,2006307,900,180,0.445846,11146,1,1,10941.5,2217.5,1353362,600,120,0.45112066666666667,1,1,11278.016666666666,10746.5,652945,300,60,0.43529666666666667,1,1,10882.416666666666,11355.5
600801c48b224300016f36fd,Mada,74909,25,5,0.599272,14981,0,0,15738,3400,74909,25,5,0.599272,0,0,14981.8,15738,,,,,,,,
6016ae33d48bd30001e71782,[TNT] Diablo,158673,50,10,0.634692,15867,0,0,14429.5,3285,84268,25,5,0.674144,0,0,16853.6,17105,74405,25,5,0.59524,0,0,14881,13818
