SUBDIVISION,TOTAL_OCCURRENCES,TOTAL_ROUNDS,UNIQUE_PLAYERS,AVERAGE_SCORE,SCORE_STDEV
37.95675195866833,1,80,16,3557.6875,1318.5920198620001
101.3937447965346,1,80,16,3557.6875,1318.5920198620001
82.417301013482,1,155,31,3548.3483870967743,1316.816413067214
69.28174486896098,1,155,31,3548.3483870967743,1316.816413067214
50.26600769003967,1,155,31,3548.3483870967743,1316.816413067214
43.088015661968974,1,155,31,3548.3483870967743,1316.816413067214
37.14206245154575,1,155,31,3548.3483870967743,1316.816413067214
60.59229358798596,1,115,23,3528.1304347826085,1178.3168948656803
44.18685162113673,1,115,23,3528.1304347826085,1178.3168948656803
37.84013525492515,1,115,23,3528.1304347826085,1178.3168948656803
31.901632743472554,1,115,23,3528.1304347826085,1178.3168948656803
31.545925509865576,1,115,23,3528.1304347826085,1178.3168948656803
91.43468448170167,1,90,18,3525.4777777777776,1479.1258696929963
75.93913125326861,1,90,18,3525.4777777777776,1479.1258696929963
48.51813796300446,1,90,18,3525.4777777777776,1479.1258696929963
40.04926418912349,1,90,18,3525.4777777777776,1479.1258696929963
37.1660223616074,1,90,18,3525.4777777777776,1479.1258696929963
86.12863893267769,1,120,24,3525.1,1378.8042972082735
74.5297430716045,1,120,24,3525.1,1378.8042972082735
56.169775765660276,1,120,24,3525.1,1378.8042972082735
42.86137068536443,1,120,24,3525.1,1378.8042972082735
42.22521610961569,1,120,24,3525.1,1378.8042972082735
85.7860143494074,1,90,18,3496.3444444444444,1580.4674284746068
66.26701990738287,1,90,18,3496.3444444444444,1580.4674284746068
49.71969387900873,1,90,18,3496.3444444444444,1580.4674284746068
44.30039770668776,1,90,18,3496.3444444444444,1580.4674284746068
152.4565722818434,1,90,18,3496.3444444444444,1580.4674284746068
40.17286496693487,1,80,16,3486,1557.289014601978
38.87514051988375,1,80,16,3486,1557.289014601978
35.19522285929815,1,80,16,3486,1557.289014601978
134.3746164688097,1,80,16,3486,1557.289014601978
108.1415378849688,1,80,16,3486,1557.289014601978
38.75084548531127,1,85,17,3485.141176470588,1491.1057259468755
37.76834060981011,1,85,17,3485.141176470588,1491.1057259468755
36.44834893513311,1,85,17,3485.141176470588,1491.1057259468755
31.1571904933035,1,85,17,3485.141176470588,1491.1057259468755
138.227307149859,1,85,17,3485.141176470588,1491.1057259468755
91.7339036590836,1,85,17,3481.1882352941175,1516.5132259784205
76.92580214289283,1,85,17,3481.1882352941175,1516.5132259784205
65.73522916835685,1,85,17,3481.1882352941175,1516.5132259784205
143.37751409820297,1,85,17,3481.1882352941175,1516.5132259784205
135.1315492728912,1,85,17,3481.1882352941175,1516.5132259784205
59.94175473530534,1,120,24,3464.475,1434.7036335221524
48.009747705451275,1,120,24,3464.475,1434.7036335221524
37.7176278623506,1,120,24,3464.475,1434.7036335221524
34.60319475201304,1,120,24,3464.475,1434.7036335221524
32.59683042657299,1,120,24,3464.475,1434.7036335221524
67.29984528557753,1,145,29,3452.862068965517,1534.2951638914028
48.06694055733045,1,145,29,3452.862068965517,1534.2951638914028
34.021994943450764,1,145,29,3452.862068965517,1534.2951638914028
116.94112919470226,1,145,29,3452.862068965517,1534.2951638914028
115.53860857706975,1,145,29,3452.862068965517,1534.2951638914028
90.07441255682146,1,80,16,3440.8625,1202.6845361913274
69.17322394920984,1,80,16,3440.8625,1202.6845361913274
50.75280821347316,1,80,16,3440.8625,1202.6845361913274
40.33027398227647,1,80,16,3440.8625,1202.6845361913274
32.16207088701415,1,80,16,3440.8625,1202.6845361913274
50.92966410964875,1,135,27,3433.259259259259,1339.7332070669781
44.56880239817239,1,135,27,3433.259259259259,1339.7332070669781
42.41368623292924,1,135,27,3433.259259259259,1339.7332070669781
41.2927066118107,1,135,27,3433.259259259259,1339.7332070669781
37.08149727047323,1,135,27,3433.259259259259,1339.7332070669781
78.73258579922796,1,165,33,3423.5636363636363,1540.8968946330601
77.71777102777679,1,165,33,3423.5636363636363,1540.8968946330601
36.42357902766962,1,165,33,3423.5636363636363,1540.8968946330601
34.62964535931691,1,165,33,3423.5636363636363,1540.8968946330601
133.62387119051843,1,165,33,3423.5636363636363,1540.8968946330601
93.03808819845588,1,105,21,3419.866666666667,1411.3581710480605
92.67654894374208,1,105,21,3419.866666666667,1411.3581710480605
52.74068589440944,1,105,21,3419.866666666667,1411.3581710480605
42.157694366580884,1,105,21,3419.866666666667,1411.3581710480605
114.39276644331206,1,105,21,3419.866666666667,1411.3581710480605
58.42494223172707,1,90,18,3356.1222222222223,1411.3786863109556
50.76907031023987,1,90,18,3356.1222222222223,1411.3786863109556
45.49187500583798,1,90,18,3356.1222222222223,1411.3786863109556
43.82424663122428,1,90,18,3356.1222222222223,1411.3786863109556
142.96669635186927,1,90,18,3356.1222222222223,1411.3786863109556
89.86977,1,70,14,3334.4857142857145,1649.6705622886134
58.46621,1,70,14,3334.4857142857145,1649.6705622886134
49.2942,1,70,14,3334.4857142857145,1649.6705622886134
40.367056,1,70,14,3334.4857142857145,1649.6705622886134
133.3772,1,70,14,3334.4857142857145,1649.6705622886134
60.94781,1,80,16,3322.65,1891.7325002494404
45.46746,1,80,16,3322.65,1891.7325002494404
37.45166,1,80,16,3322.65,1891.7325002494404
20.31407,1,80,16,3322.65,1891.7325002494404
137.996246,1,80,16,3322.65,1891.7325002494404
57.89568365077393,1,95,19,3313.1684210526314,1674.4452193747582
48.03925040529221,1,95,19,3313.1684210526314,1674.4452193747582
40.884007486335484,1,95,19,3313.1684210526314,1674.4452193747582
122.30805069215106,1,95,19,3313.1684210526314,1674.4452193747582
