PLAYER_ID,PLAYER_NAME,TOTAL_SCORE,ROUNDS_PLAYED,GAMES_PLAYED,ACCURACY,HIGHEST_HEDGE_STREAK,AVERAGE_HEDGE_STREAK
64179ee2585e69f92ec514fc,ｺｺｽ,513115,165,33,0.6219575757575757,1,1
6420e452357e1c2d41c78157,angjusevi,435528,150,30,0.580704,1,1
64302511da72523ce5182c88,[Geo] Scooby Poo,26388,35,7,0.15078857142857144,0,0
6457e640090d9955e3a25dc3,Ryazanovoff,14370,5,1,0.5748,0,0
6458e4b2ea1e908b38f447e4,LedOooo,6277,5,1,0.25108,0,0
6460e8bfec20ce42ae0b90bb,Spirit Donk,86627,25,5,0.693016,0,0
64899fdf6552c09cf38d9d8e,豆豆冖,1697600,505,101,0.6723168316831684,3,1.29
6494f9bbab07ca3ea843220f,Kakaageo,15734,5,1,0.62936,0,0
649b4141377d3ba1a0809e04,🌺МоутонЛовесЙонаС🌺,771746,200,40,0.771746,6,2.22
64b2b2afd22a6256877948e5,constella,111414,40,8,0.55707,0,0
64baeb48db0818506aacb1b8,asdfgrace,1663323,540,108,0.6160455555555555,2,1.22
64e250e234185dd27cfb93a5,bomboclatt69,43158,25,5,0.345264,0,0
64ed17355f2bccc9d751cce4,Novoosibirsk,322003,105,21,0.6133390476190477,0,0
64fb4d0ff94feb29cc0a3342,notlukasz36,8339,5,1,0.33356,0,0
65196df73b287bbf7203f3f7,frey44,9943,5,1,0.39772,0,0
6557a72349182de4e31db900,Noski,169549,55,11,0.6165418181818182,1,1
65699a3d8312d2834b4eed93,Elements,1012949,395,79,0.5128855696202531,1,1
657136033b7d1f7babadbed4,SnowyMarsh339,79390,65,13,0.24427692307692309,0,0
65a45a24590a680e4a85cc05,TropicalHill119,206306,75,15,0.5501493333333334,0,0
65d14ea7cc0b79f9a83e4150,ONLYLOVE 🌱,230638,100,20,0.461276,0,0
65e5c9342f49c0992d890a2f,ddimon4ikk_,44005,25,5,0.35204,0,0
662d0189162adfc26f7751ac,Looks Like Something I Luzon,26096,10,2,0.52192,0,0
6632b168b565bbebc7049335,Codys390,5591,5,1,0.22364,0,0
667835c22462ec60ea631124,SkyLimit,44580,25,5,0.35664,0,0
668d09bbe33dc85756f6a6ee,intex,50555,25,5,0.40444,0,0
6723c3b1e31a06ac77609aec,林阿倫的徒弟。,161901,55,11,0.5887309090909091,0,0
