PLAYER_ID,PLAYER_NAME,ROUNDS_PLAYED,ADJ_TOTAL_SCORE,ADJ_PLAYED,ADJ_ACCURACY,ADJ_NM_SCORE,ADJ_NM_PLAYED,ADJ_NM_ACCURACY,ADJ_NMPZ_SCORE,ADJ_NMPZ_PLAYED,ADJ_NMPZ_ACCURACY
63a7162c482f8304763e75c3,Dynya,5,14946,2,,14946,2,,,0,
63b6e8ccb8148b72cafa0adb,KZT,1340,17988424,896,0.8023382694023193,14008144,680,0.8230401880141011,3980280,216,0.7370888888888889
63bc59f483352dc1648f8e9a,nevergiveup.,100,1433076,72,,718396,32,,714680,40,
63bcd8027039017494d42999,KANMURU,10,40800,3,,,0,,40800,3,
63cffe929512ebc734808b0b,Rylleon,595,7296092,428,,5064356,284,,2231736,144,
63dbf173192ea6602ebbe3e2,DreDay,15,31992,8,,22356,4,,9636,4,
63e223415109acb72e8c3318,GabrielGeoo,1340,14364948,896,0.6407202497769848,10912756,655,0.6662244200244201,3452192,241,0.5715549668874172
64007150a74fcc57ff691bea,mostiqq,5,25230,2,,25230,2,,,0,
6407f630fd61426c650d8579,jkwon,670,6455292,482,,4795424,345,,1659868,136,
6416cf85c84b14719efada74,Krisons,20,56012,7,,56012,7,,,0,
64179ee2585e69f92ec514fc,ｺｺｽ,180,2047804,119,,2047804,119,,,0,
6420e452357e1c2d41c78157,angjusevi,150,864778,54,,864778,54,,,0,
642548987a0ec1cc8ffe5698,insomnia (5kftw),5,15632,2,,,0,,15632,2,
64302511da72523ce5182c88,[Geo] Scooby Poo,35,52766,12,,52766,12,,,0,
6457e640090d9955e3a25dc3,Ryazanovoff,5,28740,2,,28740,2,,,0,
6458e4b2ea1e908b38f447e4,LedOooo,5,12554,2,,12554,2,,,0,
6460e8bfec20ce42ae0b90bb,Spirit Donk,80,997516,58,,343896,18,,653620,40,
64899fdf6552c09cf38d9d8e,豆豆冖,705,9051012,508,,6723016,364,,2327996,144,
6494f9bbab07ca3ea843220f,Kakaageo,5,31468,2,,31468,2,,,0,
649b4141377d3ba1a0809e04,🌺МоутонЛовесЙонаС🌺,325,4289660,220,,3028300,144,,1261360,76,
64b2b2afd22a6256877948e5,constella,45,452544,32,,443248,28,,9296,4,
64baeb48db0818506aacb1b8,asdfgrace,735,7819184,460,,6632740,388,,1186444,72,
64e250e234185dd27cfb93a5,bomboclatt69,25,86310,9,,86310,9,,,0,
64ed17355f2bccc9d751cce4,Novoosibirsk,105,638338,38,,638338,38,,,0,
64fb4d0ff94feb29cc0a3342,notlukasz36,5,16678,2,,16678,2,,,0,
65196df73b287bbf7203f3f7,frey44,5,19886,2,,19886,2,,,0,
6557a72349182de4e31db900,Noski,55,336258,20,,336258,20,,,0,
65699a3d8312d2834b4eed93,Elements,585,4836152,353,,4038080,284,,798072,68,
657136033b7d1f7babadbed4,SnowyMarsh339,65,158720,23,,158720,23,,,0,
65a45a24590a680e4a85cc05,TropicalHill119,75,408012,27,,408012,27,,,0,
65ac336c51500ca754b0bb4a,Torog0d,5,,0,,,0,,,0,
65d14ea7cc0b79f9a83e4150,ONLYLOVE 🌱,100,460412,36,,460412,36,,,0,
65e5c9342f49c0992d890a2f,ddimon4ikk_,25,88008,9,,88008,9,,,0,
662d0189162adfc26f7751ac,Looks Like Something I Luzon,110,1152668,79,,104340,7,,1048328,72,
6632b168b565bbebc7049335,Codys390,5,11182,2,,11182,2,,,0,
667835c22462ec60ea631124,SkyLimit,25,88936,9,,88936,9,,,0,
668d09bbe33dc85756f6a6ee,intex,25,100998,9,,100998,9,,,0,
6723c3b1e31a06ac77609aec,林阿倫的徒弟。,55,322398,20,,322398,20,,,0,
