TEST_ID,SEED_NUMBER,SEED_LINK,SEED_MAP,SEED_TIME,SEED_MODE,ROUND_1_LAT,ROUND_1_LNG,ROUND_1_SUBDIVISION,ROUND_2_LAT,ROUND_2_LNG,ROUND_2_SUBDIVISION,ROUND_3_LAT,ROUND_3_LNG,ROUND_3_SUBDIVISION,ROUND_4_LAT,ROUND_4_LNG,ROUND_4_SUBDIVISION,ROUND_5_LAT,ROUND_5_LNG,ROUND_5_SUBDIVISION
APR_24,19,https://www.geoguessr.com/challenge/D6gaZmfQU8D4GdHV,An Arbitrary Russia,30,NM,54.25075,52.84412,Tatarstan Republic,47.3828,40.11299,Rostov,43.106541,45.585508,Chechnya,61.726271,34.429207,Karelia,54.091814,50.08837,Ulyanovsk
APR_24,20,https://www.geoguessr.com/challenge/hxpgSreZn31OlJ5q,An Arbitrary Russia,30,NM,55.59794,39.23221,Moscow Oblast,65.263696,33.741436,Karelia,55.40423,85.99791,Kuzbass,54.9876,83.42347,Novosibirsk Oblast,45.33102,42.81975,Stavropol Kray
MAR_24,1,https://www.geoguessr.com/challenge/KEX2aGAVT00bF2o5,An Arbitrary Russia,60,NMPZ,57.11245,65.67882,Tyumen Oblast,54.72448,20.40019,Kaliningrad Oblast,57.21064,51.8,Udmurtiya Republic,56.32827,62.15734,Sverdlovsk Oblast,54.78251,38.64788,Moscow Oblast
MAR_24,2,https://www.geoguessr.com/challenge/FtMbgjzWhFAS6OLB,An Arbitrary Russia,60,NMPZ,44.05279,43.0764,Stavropol Kray,43.82708,131.95873,Primorye,46.32305,46.31549,Astrakhan Oblast,64.05538,42.54891,Arkhangelskaya,54.409907,45.303314,Mordoviya Republic
MAR_24,3,https://www.geoguessr.com/challenge/M2iocZqbysYq6Rfi,An Arbitrary Russia,60,NMPZ,55.10215,81.65607,Novosibirsk Oblast,52.650024,38.438632,Lipetsk Oblast,61.0994,29.97341,Leningradskaya Oblast',60.59627397189426,151.5663559117848,Magadan Oblast,62.26102374978836,151.6840023757831,Magadan Oblast
MAR_24,4,https://www.geoguessr.com/challenge/d1GTdgzphcOdnQnb,An Arbitrary Russia,60,NMPZ,50.635567,40.962165,Voronezh Oblast,53.96492,58.39544,Bashkortostan Republic,62.84417,42.86242,Arkhangelskaya,53.8171,46.461979,Ulyanovsk,44.59625,132.80529,Primorye
MAR_24,5,https://www.geoguessr.com/challenge/LyCWys2ao7598wGT,An Arbitrary Russia,60,NMPZ,55.31491,89.23354,Krasnoyarsk Krai,52.77522,52.04597,Orenburg Oblast,57.04263,65.69885,Tyumen Oblast,55.940219,31.093031,Smolensk Oblast,46.07824,45.3964,Kalmykiya Republic
MAR_24,6,https://www.geoguessr.com/challenge/S422hWbFPr8Jl1l2,An Arbitrary Russia,60,NMPZ,47.25796,38.90542,Rostov,55.379366,45.617009,Nizhny Novgorod Oblast,56.392687,44.086914,Nizhny Novgorod Oblast,63.9862368302392,141.0977154284766,Sakha,60.93383,46.46712,Vologda Oblast
MAR_24,7,https://www.geoguessr.com/challenge/sOsj7MXN7Qq9C6c8,An Arbitrary Russia,60,NMPZ,54.65368,55.67649,Bashkortostan Republic,65.7698,71.60778,Yamalo-Nenets,46.12456,39.91236,Krasnodar Krai,61.33436,73.37823,Khanty-Mansia,63.36894,66.99823,Khanty-Mansia
MAR_24,8,https://www.geoguessr.com/challenge/uTWuaov5bk7KFRrJ,An Arbitrary Russia,60,NMPZ,51.78966,58.09315,Bashkortostan Republic,43.57527,39.97557,Krasnodar Krai,55.9611,92.90604,Krasnoyarsk Krai,53.31786,37.81619,Tula Oblast,55.35336,36.89963,Moscow Oblast
MAR_24,9,https://www.geoguessr.com/challenge/3CZG9lyg8fVgqrJ8,An Arbitrary Russia,60,NMPZ,53.41908,83.92866,Altai Krai,44.53955,41.53715,Krasnodar Krai,56.2309,38.11429,Moscow Oblast,49.73884,43.65617,Volgograd Oblast,59.11267,37.40824,Vologda Oblast
MAR_24,10,https://www.geoguessr.com/challenge/wZeKLCuzOcfKg9Dl,An Arbitrary Russia,60,NMPZ,63.51025,53.39716,Komi,51.85101,107.65263,Buryatiya Republic,58.69148,52.19411,Kirov Oblast,53.666729,47.414239,Ulyanovsk,63.23406,76.02833,Yamalo-Nenets
